body,link,title
"Brian Jeffrey Raymond, presuntamente, drogó y violó a varias mujeres en el apartamento diplomático que tenía en Polanco",https://elpais.com/mexico/sociedad/2021-01-21/el-fbi-busca-a-mas-victimas-del-presunto-depredador-sexual-de-la-embajada-de-ee-uu-en-ciudad-de-mexico.html,El FBI busca a más víctimas del presunto “depredador sexual” de la Embajada de EE UU en Ciudad de México
"El grupo Valtalia, que factura 150 millones de euros, comenzó a recuperar plástico usado cuando el mercado rechazaba los productos reutilizados",https://elpais.com/economia/2021-01-21/el-amo-gallego-del-reciclaje-de-basuras.html,El amo gallego del reciclaje de basuras
"El presidente no asistirá a la toma de posesión de Biden y quebranta así una costumbre, mantenida por todos sus predecesores desde 1877, que representa el respeto por la democracia, el proceso electoral y la unidad del país",https://elpais.com/internacional/2021-01-19/recorrido-visual-trump-rompe-150-anos-de-tradicion-democratica.html,Recorrido visual por las investiduras de EE UU: Trump rompe 150 años de tradición democrática
"El murciano avanza que, cumplidos los 41 años el próximo abril, se retirará a finales de temporada, después de disputar los Juegos y la Vuelta",https://elpais.com/deportes/2021-01-21/el-eterno-valverde-se-pone-ya-fecha-de-caducidad.html,El eterno Alejandro Valverde se pone ya fecha de caducidad
El Ejecutivo de Justin Trudeau cuestiona la medida que afecta la construcción y explotación de Keystone XL,https://elpais.com/internacional/2021-01-22/la-decision-de-ee-uu-de-anular-el-proyecto-de-un-oleoducto-provoca-malestar-en-el-gobierno-de-canada.html,La decisión de EE UU de anular el proyecto de un oleoducto provoca malestar en el Gobierno de Canadá 
"El artista se prepara para inaugurar en Pamplona una de sus mayores exposiciones, un diálogo a ultranza entre  pintura y fotografía tan vivaz  como su forma de ver el mundo",https://elpais.com/babelia/2021-01-21/luis-gordillo-cuando-algo-queda-bonito-sospecho.html,"Luis Gordillo: “Cuando algo queda bonito, sospecho”"
"Una red liderada por Alex Saab, presunto testaferro de Maduro, utilizó empresas en México, Rusia o Emiratos Árabes para distribuir el crudo del país caribeño y poder evadir las sanciones de EE UU, según documentos en poder de EL PAÍS y Armando.info",https://elpais.com/internacional/2021-01-17/la-vuelta-al-mundo-para-mover-el-petroleo-venezolano.html,La vuelta al mundo para mover el petróleo venezolano 
"Personaje inseparable de la ciudad de Nueva York, y con opiniones para todo, acaba de estrenar en Netflix ‘Pretend it’s a city’, una serie de conversaciones con Martin Scorsese en las que carga contra el turismo, sus conciudadanos o el precio de las casas",https://elpais.com/icon-design/arquitectura/2021-01-19/las-calles-parecen-el-apartamento-de-mi-abuela-las-frases-mas-lapidarias-de-la-escritora-y-humorista-fran-lebowitz-sobre-como-vivimos-en-las-ciudades.html,“Las calles parecen el apartamento de mi abuela”: las frases más lapidarias de Fran Lebowitz sobre cómo vivimos en las ciudades
A strong smell of gas was detected in the building before the incident. An electrician called to inspect the boilers was killed in the explosion,https://english.elpais.com/spanish_news/2021-01-21/madrid-blast-claims-fourth-victim.html,Madrid blast claims fourth victim
"José Bergamín era el desasosiego y la burla hechas fuego, un indiscutible problema para la gazmoña banda franquista, que le forzó a exilarse varias veces en su larga vida",https://elpais.com/babelia/2021-01-21/esperando-la-mano-de-nieve.html,Esperando la mano de nieve
"El futuro de la cooperación en seguridad y narcotráfico va a condicionar el resto de la agenda bilateral, ya no la relación personal entre los jefes de Estado",https://elpais.com/mexico/opinion/2021-01-21/la-nueva-normalidad-entre-mexico-y-estados-unidos.html,La “nueva normalidad” entre México y Estados Unidos  
"The decision means Iñaki Urdangarin, who was sentenced to five years for embezzlement, will only have to spend the nights of Monday through Thursday in jail",https://english.elpais.com/spanish_news/2021-01-21/spanish-kings-brother-in-law-granted-flexible-prison-scheme.html,Spanish king’s brother-in-law granted open prison regime
Venezuela pretende aumentar la producción hasta 800.000 barriles diarios tras años de expolio y mala gestión ,https://elpais.com/internacional/2021-01-22/maduro-se-vuelca-en-la-busqueda-de-inversores-internacionales-para-reactivar-la-industria-petrolera.html,Maduro se vuelca en la búsqueda de inversores internacionales para reactivar la industria petrolera    
