uid|body|link|title|newspaper_uid|host|n_tokenize_title|n_tokenize_body
ea46fa78987444d759f8f290bac6f086|El Gobierno de Estados Unidos expresó este sábado su “profunda decepción” por la exoneración del exministro mexicano de Defensa, Salvador Cienfuegos, y acusó a México de violar un tratado al divulgar información que el Ejecutivo estadounidense le había compartido.|https://www.eluniversal.com.co/mundo/ee-uu-decepcionado-de-mexico-por-caso-de-cienfuegos-HC4051229| EE.UU. “decepcionado” de México por caso de Cienfuegos|eluniversal|www.eluniversal.com.co|4|21
12a385b6ba9ab5738c1fb509f950090d|El Comando de Policía de Bolívar capturó, en menos de 24 horas, a alias “El Menor”, quien con arma de fuego le hurtó la bicicleta montañera a un ciclista de esta población.|https://www.eluniversal.com.co/sucesos/en-marialabaja-con-arma-de-fuego-roba-bicicleta-a-un-joven-y-policia-lo-captura-BD4050627|En Marialabaja: Con arma de fuego roba bicicleta a un joven y Policía lo captura|eluniversal|www.eluniversal.com.co|8|15
9d0dab40d71aff47103c97b4bc265164|El pasado viernes fue hospitalizada la actriz mexicana, Leticia Calderón, quien confirmó a través de sus redes sociales que sus quebrantos de salud corresponden al contagio de COVID-19.|https://www.eluniversal.com.co/farandula/leticia-calderon-fue-hospitalizada-por-covid-19-NL4049395|Leticia Calderón fue hospitalizada por COVID-19|eluniversal|www.eluniversal.com.co|3|15
a0bf4cc696fd75fd9eda144dbc7615f1|Tradicionalmente, cada año que llega es sinónimo de renovación y nuevas oportunidades para millones de personas en el mundo. La gente aprovecha para hacer borrón y cuenta nueva, definir proyectos y reorganizar su vida para los 365 días que vienen.|https://www.eluniversal.com.co/viernes/como-cumplir-tus-propositos-en-el-2021-y-no-morir-en-el-intento-YY4010809|¿Cómo cumplir tus propósitos en el 2021 y no morir en el intento?|eluniversal|www.eluniversal.com.co|4|23
a14c45b3df1210e183825779d6d685fb|Dejando atrás un año que para todos representó cambios, la artista cordobesa Martina la Peligrosa se aferra a lo que más sabe hacer, y presenta un tema que cerró ese ciclo un tanto tortuoso, pero que a su vez la hizo encontrarse a sí misma, cantándole al amor.|https://www.eluniversal.com.co/viernes/lo-mejor-de-martina-la-peligrosa-XY4010880|Lo mejor de Martina la Peligrosa|eluniversal|www.eluniversal.com.co|3|23
53763b5961dae4d3f97be8054a734371|El sueño de hace varios años por fin se pudo materializar: Twister, el Rey y su esposa, Eliana Rodas están en la dulce espera. Para la modelo es su primera experiencia como madre, mientras que para el cantante de champeta es su quinto hijo. En redes sociales, la pareja nunca ocultó su deseo de traer al mundo a un hermanito o hermanita para, Isbeth, Matías Jose, Emily José e Israel José, y ahora reciben el 2021 alegrando a sus fanáticos con esta noticia.|https://www.eluniversal.com.co/farandula/twister-el-rey-anuncia-que-espera-su-quinto-hijo-KL4049792|Twister, El Rey, anuncia que espera su quinto hijo|eluniversal|www.eluniversal.com.co|6|45
83f884ab06e5902281858a88b5668ade|Así se titula la biografía de la periodista y escritora italiana Oriana Fallaci, escrita por la scout literaria Cristina de Stefano, quien en estos momentos se constituye en todo un boom bibliográfico en Estados Unidos, China, Finlandia, Polonia, Holanda, Alemania, Francia, España; y lógicamente, en su país natal: Italia.|https://www.eluniversal.com.co/opinion/columna/la-corresponsal-YK4048256|La corresponsal|eluniversal|www.eluniversal.com.co|1|29
19ea334826473627e6665f05ed2d1aed|Para esta casa editorial y, a no dudarlo, para la prensa libre colombiana, constituye una gran pérdida la partida impensada del gran maestro e impulsor del desarrollo y defensa del periodismo regional, Alejandro Galvis Ramírez.|https://www.eluniversal.com.co/opinion/editorial/en-memoria-de-un-grande-BC4051388|En memoria de un grande|eluniversal|www.eluniversal.com.co|2|21
ce09f6eccaad7dd3cd4f47fb02e41ee8|El 2021 comenzó con una importante noticia para la familia de José Luis Salcedo Meza, un joven de 22 años a quien llamaban ‘Makelele’ y que murió el 22 de marzo del 2019. Su deceso se produjo como consecuencia de un balazo que recibió el día 15 de ese mes en una riña en el barrio El Silencio de El Carmen de Bolívar.|https://www.eluniversal.com.co/sucesos/el-momin-segundo-capturado-por-el-asesinato-a-bala-de-jose-luis-salcedo-ML4049961|‘El Momín’, segundo capturado por el asesinato a bala de José Luis Salcedo|eluniversal|www.eluniversal.com.co|8|26
5f88a5476f469cf12c6c53e284d877cc|Dicen que la justicia tarda, pero llega. Eso es lo que piensan los parientes de José Luis Salcedo Meza, un joven de 22 años, que fue baleado el 15 de marzo del 2019 en medio de una riña ocurrida en el barrio el Silencio, del municipio de El Carmen de Bolívar. Una semana después falleció tras ser sometido a una operación en el Hospital Universitario del Caribe en Cartagena.|https://www.eluniversal.com.co/sucesos/el-momin-a-la-carcel-por-presuntamente-asesinar-a-un-joven-en-el-carmen-DL4049775|“El Momín”, a la cárcel por presuntamente asesinar a un joven en El Carmen|eluniversal|www.eluniversal.com.co|6|33
1a14b9e49cc40777dd8f350cc3138306|Muchos de los planes que las organizaciones y las personas tenían se vieron interrumpidos durante 2020. Se espera que para en 2021 esa volatilidad se mantenga, aunque se puede advertir que será más alentador; en cuanto a la seguridad tecnológica será necesario seguir atentos y preparados ante las diferentes eventualidades que puedan presentar.|https://www.eluniversal.com.co/viernes/ciberseguridad-2021-que-esperar-despues-del-ano-que-lo-cambio-todo-KY4010048|Ciberseguridad 2021: Qué esperar después del año que lo cambió todo|eluniversal|www.eluniversal.com.co|5|23
80db14e69c8b1dfd0be13d260ef3a720|Aunque a veces otorga más vida y personalidad a nuestro estilo, la joyería sigue perteneciendo a esa categoría que, por definición, la limita a un segundo o tercer plano: la de los accesorios. Esto pasa por diversas razones, principalmente porque nos limitamos a usarlas solo para ocasiones especiales, en el exterior, en temporadas específicas o cuando tenemos ciertos estados de ánimo.|https://www.eluniversal.com.co/viernes/redefine-la-palabra-accesorio-joyas-como-base-de-tu-estilo-NI4039861|Redefine la palabra “accesorio”, joyas como base de tu estilo |eluniversal|www.eluniversal.com.co|6|30
e02bd852e9058388c312fe5d54a4be0b|Como se diría en una plática común, envidia de la buena suscita la noticia del exitoso 2020 en materia de ventas de vivienda nueva en prácticamente todas las ciudades capitales del país; por supuesto, excepto Cartagena.|https://www.eluniversal.com.co/opinion/editorial/envidia-de-la-buena-MK4048187|Envidia de la buena|eluniversal|www.eluniversal.com.co|2|20
65b14c991948a9981250927bd67a3cdc|Siempre que empezamos un año nuevo, tenemos nuevos retos y objetivos. Uno de ellos es intentar perder el peso que ganamos por las fiestas navideñas. Una buena opción es comer más sano, y aumentar el consumo de vegetales. El reconocido cocinero mexicano, Antonio de Livier, ofrece alternativas saludables y fáciles de preparar en la serie “Menú para todos los días”, que se emite en Colombia por el canal de televisión El Gourmet. Con toda su simpatía, el chef inspira mucho ánimo para que todos se aventuren a crear más recetas para cocinar a diario y disfrutar que la comida nos une. La propuesta de Toño será hacer recetas simples, en poco tiempo y con ingredientes que cualquiera tiene en la casa.|https://www.eluniversal.com.co/viernes/un-menu-saludable-para-empezar-el-ano-FH4009878|Un menú saludable para empezar el año|eluniversal|www.eluniversal.com.co|4|60
6c6f8020cf8fed2df66dd36b6d723228|Este jueves 14 de enero se cumplió la primera de tres audiencias programadas este mes para definir la suerte del alcalde de Cartagena William Dau Chamat en medio del proceso disciplinario que le abrió la Procuraduría por haberse referido con ‘términos desobligantes’ a los directivos de la Universidad de Cartagena, a quienes calificó de ‘nido de ratas’, ‘malandrines’ y ‘corruptos’, en declaraciones dadas a los medios de comunicación el pasado 31 de julio de 2020. (Lea aquí: Alcalde Dau, a juicio disciplinario por llamar ‘nido de ratas’ a directivos de la UdeC)|https://www.eluniversal.com.co/politica/procuraduria-definira-el-21-de-enero-si-archiva-proceso-contra-alcalde-dau-MI4039619|Procuraduría definirá el 21 de enero si archiva proceso contra alcalde Dau|eluniversal|www.eluniversal.com.co|8|49
a0d12fd070f2f7fe27d6218caecc5ec0|Tomó muchos años la gestación del megaproyecto de la central de generación de energía Hidroituango, aprovechando el caudal y la torrentera del río Cauca, para represarlo, embalsarlo y alimentar las turbinas de sus ocho unidades, cada una con capacidad de generación de 800 MW de potencia. Pero, fue solo en el año 2010 cuando la Sociedad Hidroituango, cuyos mayores accionistas son el IDEA y EPM, suscribió con esta última el contrato para su construcción y puesta en operación.|https://www.eluniversal.com.co/opinion/columna/hidroicuando-YC4051405|¿Hidroicuando?|eluniversal|www.eluniversal.com.co|0|39
0473ad83089b6bb4a0788092d0180a6b|Rondaba los 26 años cuando a mi mentor, Héctor Hernández Ayazo, y al joven empresario Gerardo Araújo, ya entonces gerente de esta casa editorial, se les dio por pensar que yo tenía madera de periodista y que podía ejercer ese oficio sin abandonar el litigio profesional, algo que yo no había llegado ni a presentir.|https://www.eluniversal.com.co/suplementos/facetas/una-curiosa-cita-con-alejandro-galvis-ramirez-EL4049978|Una curiosa cita con Alejandro Galvis Ramírez|eluniversal|www.eluniversal.com.co|5|26
d335a81a061515ebb5c3b010ced36f52|El Gobierno británico anunció este sábado que el próximo G7 se celebrará entre el 11 y el 13 de junio en Cornualles (suroeste de Inglaterra), y espera que sea la primera cumbre de líderes mundiales presencial en cerca de dos años.|https://www.eluniversal.com.co/mundo/el-reino-unido-prepara-cumbre-del-g7-presencial-en-cornualles-para-junio-JC4051821|El Reino Unido prepara cumbre del G7 presencial en Cornualles para junio|eluniversal|www.eluniversal.com.co|7|19
